Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Afghanistan,AFG,5360,5610,5670,5720,5930,6250,7040,7710,8220,8990,7710,6420,8190,8430,8340,8500,8650,8800,9800,9990,11510,11530,11380,11280,11480,10850,10630,10330,10540,10920,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Albania,ALB,2200,2230,2220,2360,3020,3090,2910,2710,2570,2640,2680,2620,2550,2580,2490,2470,2420,2300,2140,2030,2040,2030,2070,2070,2100,2110,2100,2050,2010,1850,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Algeria,DZA,4360,4180,4370,4450,4270,4280,4310,4300,4540,4750,4760,4800,4650,4800,5020,5050,5190,5290,5220,5530,5820,6020,6350,6560,6940,7040,6970,6880,6820,6890,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Angola,AGO,15040,15090,15150,15070,15100,15010,13680,13560,14980,13950,14390,14680,15700,17810,17830,17720,16430,17490,16670,16730,17500,18020,17170,17640,17060,17710,17700,18000,16220,18050,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Antigua and Barbuda,ATG,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,20,20,20,20,20,20,20,20,10,10,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Argentina,ARG,84680,83650,84630,83270,83900,83240,80600,79840,77140,79230,79490,78840,81920,88150,89160,89140,91140,91770,90560,85580,77640,76880,79420,80960,81730,81560,82830,86590,85430,84990,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Armenia,ARM,810,800,710,630,620,610,610,610,560,560,570,590,610,640,670,670,690,720,730,670,660,650,680,760,780,790,810,760,680,660,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Australia,AUS,103350,102440,100150,98310,100000,97510,91390,91070,93830,108450,117540,126110,118970,80490,101080,81010,99170,94300,77470,80690,68250,118990,118460,80150,89670,85130,68000,89150,88050,70790,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Austria,AUT,6570,6560,6430,6190,6090,5750,5740,5650,5510,5490,5390,5350,5280,5130,5040,5020,4950,4920,4960,4910,4980,4960,4870,4830,4830,4840,4830,4830,4710,4640,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Azerbaijan,AZE,3180,3120,2650,2530,2380,2400,2470,2610,2720,2830,2920,3080,3170,3310,3410,3500,3650,3720,3810,3880,3960,3950,3980,4020,4040,4060,4020,3990,3930,3900,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,"Bahamas, The",BHS,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,20,10,10,20,10,20,10,10,10,10,10,10,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Bahrain,BHR,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Bangladesh,BGD,50340,50100,50380,50140,50640,51220,50720,51130,50520,52240,52650,52490,53240,53520,52650,53740,54350,54720,56890,57490,58330,58730,58820,58940,59210,59260,58370,60510,60490,60740,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Barbados,BRB,60,60,60,50,50,50,50,50,50,40,40,40,30,30,30,30,20,20,20,20,30,20,20,30,30,20,30,30,30,30,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Belarus,BLR,16130,15820,13970,13360,12660,11880,11190,10820,10670,10420,9750,9510,9220,9020,8800,8820,8830,8780,8750,8950,8990,9060,9260,9390,9380,9380,9250,9340,9270,9180,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Belgium,BEL,7780,7840,7710,7660,7630,7750,7710,7550,7460,7800,7500,7410,7120,6810,6690,6590,6510,6440,6410,6420,6380,6330,6230,6130,6220,6290,6250,6030,6090,6040,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Belize,BLZ,100,100,120,100,100,80,80,80,90,100,90,100,100,110,100,100,110,130,140,150,150,170,160,190,150,160,180,180,190,200,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Benin,BEN,1750,1830,1860,1860,2010,1830,2190,2290,2440,2330,2630,2200,2440,2350,2300,2650,2500,2570,2460,2530,2560,2660,2710,2870,2800,2850,2970,2980,3060,3110,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
